,cellular_classification,sex_ontology_term_id,tissue_ontology_term_id,assay_ontology_term_id,disease_ontology_term_id,cell_type_ontology_term_id,self_reported_ethnicity_ontology_term_id,development_stage_ontology_term_id,organism_ontology_term_id,is_primary_data,donor_id,suspension_type,tissue_type,cell_type,assay,disease,organism,sex,tissue,self_reported_ethnicity,development_stage,observation_joinid,source,orig.ident,nCount_RNA,nFeature_RNA,nCount_refAssay,nFeature_refAssay,predicted.annotation.l1.score,predicted.annotation.l1,mapping.score,hra_prediction,Organ_Level,Organ_ID,Annotation_Label_ID,CL_Label,clid,match_type,gene_expr
D29.1_1,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,?RhPQXmU5B,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,84340.0,4975,77041.0,4653,1.0,alpha,0.9786419282184565,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.31393051147461}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 154.71194458007812}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 349.43829345703125}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 6.903482913970947}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 13.206966400146484}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 1.7840795516967773}, {""gene_id"": ""HGNC:11476"", ""gene_label"": ""SURF4"", ""ensembl_id"": ""ENSG00000148248"", ""mean_gene_expr_value"": 4.82636833190918}, {""gene_id"": ""HGNC:28906"", ""gene_label"": ""G6PC2"", ""ensembl_id"": ""ENSG00000152254"", ""mean_gene_expr_value"": 6.749253749847412}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 16.88855743408203}, {""gene_id"": ""HGNC:8779"", ""gene_label"": ""PDE3B"", ""ensembl_id"": ""ENSG00000152270"", ""mean_gene_expr_value"": 1.3910447359085083}]"
D29.1_2,endothelial,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000115,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,endothelial cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,W2m4K^pT)~,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,55331.0,4933,49058.0,4630,0.6636412893933908,endothelial,0.9919080349816759,endothelial,Pancreas_L1,UBERON:0001264,AZ:0000391,endothelial cell,CL:0000115,skos:exactMatch,"[{""gene_id"": ""HGNC:3466"", ""gene_label"": ""ESM1"", ""ensembl_id"": ""ENSG00000164283"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:15855"", ""gene_label"": ""CD93"", ""ensembl_id"": ""ENSG00000125810"", ""mean_gene_expr_value"": 5.099999904632568}, {""gene_id"": ""HGNC:9665"", ""gene_label"": ""PTPRB"", ""ensembl_id"": ""ENSG00000127329"", ""mean_gene_expr_value"": 3.0999999046325684}, {""gene_id"": ""HGNC:2561"", ""gene_label"": ""CXCR4"", ""ensembl_id"": ""ENSG00000121966"", ""mean_gene_expr_value"": 3.0999999046325684}, {""gene_id"": ""HGNC:26888"", ""gene_label"": ""FAM43A"", ""ensembl_id"": ""ENSG00000185112"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:29216"", ""gene_label"": ""ARHGAP31"", ""ensembl_id"": ""ENSG00000031081"", ""mean_gene_expr_value"": 2.0999999046325684}, {""gene_id"": ""HGNC:1030"", ""gene_label"": ""BDKRB2"", ""ensembl_id"": ""ENSG00000168398"", ""mean_gene_expr_value"": 2.0999999046325684}, {""gene_id"": ""HGNC:29227"", ""gene_label"": ""HEG1"", ""ensembl_id"": ""ENSG00000173706"", ""mean_gene_expr_value"": 4.099999904632568}, {""gene_id"": ""HGNC:4042"", ""gene_label"": ""FZD4"", ""ensembl_id"": ""ENSG00000174804"", ""mean_gene_expr_value"": 2.0999999046325684}, {""gene_id"": ""HGNC:3325"", ""gene_label"": ""ELK3"", ""ensembl_id"": ""ENSG00000111145"", ""mean_gene_expr_value"": 1.100000023841858}]"
D29.1_3,delta,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000173,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,pancreatic D cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,>wsec+Ro|o,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,97961.0,3642,94840.0,3382,0.9999999999999999,delta,0.9998609794031779,delta,Pancreas_L1,UBERON:0001264,AZ:0000396,pancreatic D cell,CL:0000173,skos:exactMatch,"[{""gene_id"": ""HGNC:11329"", ""gene_label"": ""SST"", ""ensembl_id"": ""ENSG00000157005"", ""mean_gene_expr_value"": 828.4561767578125}, {""gene_id"": ""HGNC:23400"", ""gene_label"": ""SEC11C"", ""ensembl_id"": ""ENSG00000166562"", ""mean_gene_expr_value"": 13.40137004852295}, {""gene_id"": ""HGNC:6554"", ""gene_label"": ""LEPR"", ""ensembl_id"": ""ENSG00000116678"", ""mean_gene_expr_value"": 2.675342559814453}, {""gene_id"": ""HGNC:4901"", ""gene_label"": ""HHEX"", ""ensembl_id"": ""ENSG00000152804"", ""mean_gene_expr_value"": 2.250684976577759}, {""gene_id"": ""HGNC:4083"", ""gene_label"": ""GABRB3"", ""ensembl_id"": ""ENSG00000166206"", ""mean_gene_expr_value"": 2.5520548820495605}, {""gene_id"": ""HGNC:6132"", ""gene_label"": ""ISL1"", ""ensembl_id"": ""ENSG00000016082"", ""mean_gene_expr_value"": 6.332877159118652}, {""gene_id"": ""HGNC:12005"", ""gene_label"": ""TPD52"", ""ensembl_id"": ""ENSG00000076554"", ""mean_gene_expr_value"": 6.4835615158081055}, {""gene_id"": ""HGNC:12568"", ""gene_label"": ""UNC5B"", ""ensembl_id"": ""ENSG00000107731"", ""mean_gene_expr_value"": 2.045205593109131}, {""gene_id"": ""HGNC:29944"", ""gene_label"": ""TENM3"", ""ensembl_id"": ""ENSG00000218336"", ""mean_gene_expr_value"": 1.7438358068466187}, {""gene_id"": ""HGNC:9922"", ""gene_label"": ""RBP4"", ""ensembl_id"": ""ENSG00000138207"", ""mean_gene_expr_value"": 35.03150939941406}]"
D29.1_4,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,<+XydF3T^B,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,16184.0,2123,13162.0,1964,0.9999999999999998,alpha,0.9856653874294526,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.31393051147461}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 154.71194458007812}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 349.43829345703125}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 6.903482913970947}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 13.206966400146484}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 1.7840795516967773}, {""gene_id"": ""HGNC:11476"", ""gene_label"": ""SURF4"", ""ensembl_id"": ""ENSG00000148248"", ""mean_gene_expr_value"": 4.82636833190918}, {""gene_id"": ""HGNC:28906"", ""gene_label"": ""G6PC2"", ""ensembl_id"": ""ENSG00000152254"", ""mean_gene_expr_value"": 6.749253749847412}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 16.88855743408203}, {""gene_id"": ""HGNC:8779"", ""gene_label"": ""PDE3B"", ""ensembl_id"": ""ENSG00000152270"", ""mean_gene_expr_value"": 1.3910447359085083}]"
D29.1_6,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,oI7@Y2~(tB,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,35998.0,3191,33035.0,2981,1.0000000000000002,alpha,0.9511741783929938,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.31393051147461}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 154.71194458007812}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 349.43829345703125}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 6.903482913970947}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 13.206966400146484}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 1.7840795516967773}, {""gene_id"": ""HGNC:11476"", ""gene_label"": ""SURF4"", ""ensembl_id"": ""ENSG00000148248"", ""mean_gene_expr_value"": 4.82636833190918}, {""gene_id"": ""HGNC:28906"", ""gene_label"": ""G6PC2"", ""ensembl_id"": ""ENSG00000152254"", ""mean_gene_expr_value"": 6.749253749847412}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 16.88855743408203}, {""gene_id"": ""HGNC:8779"", ""gene_label"": ""PDE3B"", ""ensembl_id"": ""ENSG00000152270"", ""mean_gene_expr_value"": 1.3910447359085083}]"
D29.1_7,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,-_gde2i^Zr,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,35592.0,3196,32863.0,2970,0.9999999999999999,alpha,0.9695226823002028,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.31393051147461}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 154.71194458007812}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 349.43829345703125}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 6.903482913970947}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 13.206966400146484}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 1.7840795516967773}, {""gene_id"": ""HGNC:11476"", ""gene_label"": ""SURF4"", ""ensembl_id"": ""ENSG00000148248"", ""mean_gene_expr_value"": 4.82636833190918}, {""gene_id"": ""HGNC:28906"", ""gene_label"": ""G6PC2"", ""ensembl_id"": ""ENSG00000152254"", ""mean_gene_expr_value"": 6.749253749847412}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 16.88855743408203}, {""gene_id"": ""HGNC:8779"", ""gene_label"": ""PDE3B"", ""ensembl_id"": ""ENSG00000152270"", ""mean_gene_expr_value"": 1.3910447359085083}]"
D29.1_8,delta,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000173,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,pancreatic D cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,7AADe^<@gK,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,52878.0,4442,48518.0,4149,1.0000000000000002,beta,0.9704339674842112,beta,Pancreas_L1,UBERON:0001264,AZ:0000399,type B pancreatic cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.31393051147461}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 154.71194458007812}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 349.43829345703125}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 6.903482913970947}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 13.206966400146484}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 1.7840795516967773}, {""gene_id"": ""HGNC:11476"", ""gene_label"": ""SURF4"", ""ensembl_id"": ""ENSG00000148248"", ""mean_gene_expr_value"": 4.82636833190918}, {""gene_id"": ""HGNC:28906"", ""gene_label"": ""G6PC2"", ""ensembl_id"": ""ENSG00000152254"", ""mean_gene_expr_value"": 6.749253749847412}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 16.88855743408203}, {""gene_id"": ""HGNC:8779"", ""gene_label"": ""PDE3B"", ""ensembl_id"": ""ENSG00000152270"", ""mean_gene_expr_value"": 1.3910447359085083}]"
D29.1_11,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,SL`Ea9)APT,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,59131.0,4398,53382.0,4118,1.0,alpha,0.9455108496014178,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.31393051147461}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 154.71194458007812}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 349.43829345703125}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 6.903482913970947}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 13.206966400146484}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 1.7840795516967773}, {""gene_id"": ""HGNC:11476"", ""gene_label"": ""SURF4"", ""ensembl_id"": ""ENSG00000148248"", ""mean_gene_expr_value"": 4.82636833190918}, {""gene_id"": ""HGNC:28906"", ""gene_label"": ""G6PC2"", ""ensembl_id"": ""ENSG00000152254"", ""mean_gene_expr_value"": 6.749253749847412}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 16.88855743408203}, {""gene_id"": ""HGNC:8779"", ""gene_label"": ""PDE3B"", ""ensembl_id"": ""ENSG00000152270"", ""mean_gene_expr_value"": 1.3910447359085083}]"
D29.1_12,pp,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0002275,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,pancreatic PP cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,4)Z>Lt|q=L,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,23991.0,2998,17314.0,2795,0.9188544156918018,gamma,0.9834626514127258,gamma,Pancreas_L1,UBERON:0001264,AZ:0000395,pancreatic PP cell,CL:0002275,skos:exactMatch,"[{""gene_id"": ""HGNC:9327"", ""gene_label"": ""PPY"", ""ensembl_id"": ""ENSG00000108849"", ""mean_gene_expr_value"": 598.933349609375}, {""gene_id"": ""HGNC:7001"", ""gene_label"": ""MEIS2"", ""ensembl_id"": ""ENSG00000134138"", ""mean_gene_expr_value"": 7.316666603088379}, {""gene_id"": ""HGNC:3490"", ""gene_label"": ""ETV1"", ""ensembl_id"": ""ENSG00000006468"", ""mean_gene_expr_value"": 3.8500003814697266}, {""gene_id"": ""HGNC:8620"", ""gene_label"": ""PAX6"", ""ensembl_id"": ""ENSG00000007372"", ""mean_gene_expr_value"": 14.499999046325684}, {""gene_id"": ""HGNC:22207"", ""gene_label"": ""THSD7A"", ""ensembl_id"": ""ENSG00000005108"", ""mean_gene_expr_value"": 1.816666603088379}, {""gene_id"": ""HGNC:60"", ""gene_label"": ""ABCC9"", ""ensembl_id"": ""ENSG00000069431"", ""mean_gene_expr_value"": 3.1666669845581055}, {""gene_id"": ""HGNC:11050"", ""gene_label"": ""SLC6A4"", ""ensembl_id"": ""ENSG00000108576"", ""mean_gene_expr_value"": 2.766666889190674}, {""gene_id"": ""HGNC:8596"", ""gene_label"": ""PAM"", ""ensembl_id"": ""ENSG00000145730"", ""mean_gene_expr_value"": 8.699999809265137}, {""gene_id"": ""HGNC:6175"", ""gene_label"": ""ITM2C"", ""ensembl_id"": ""ENSG00000135916"", ""mean_gene_expr_value"": 3.7166669368743896}, {""gene_id"": ""HGNC:3364"", ""gene_label"": ""ENTPD2"", ""ensembl_id"": ""ENSG00000054179"", ""mean_gene_expr_value"": 1.0833332538604736}]"
D29.1_13,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000117,NCBITaxon:9606,True,D29,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,23-year-old human stage,nvVun4Qgth,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,32198.0,2910,29163.0,2717,1.0000000000000002,alpha,0.979882840269988,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.31393051147461}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 154.71194458007812}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 349.43829345703125}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 6.903482913970947}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 13.206966400146484}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 1.7840795516967773}, {""gene_id"": ""HGNC:11476"", ""gene_label"": ""SURF4"", ""ensembl_id"": ""ENSG00000148248"", ""mean_gene_expr_value"": 4.82636833190918}, {""gene_id"": ""HGNC:28906"", ""gene_label"": ""G6PC2"", ""ensembl_id"": ""ENSG00000152254"", ""mean_gene_expr_value"": 6.749253749847412}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 16.88855743408203}, {""gene_id"": ""HGNC:8779"", ""gene_label"": ""PDE3B"", ""ensembl_id"": ""ENSG00000152270"", ""mean_gene_expr_value"": 1.3910447359085083}]"
