,_batch_annotation,_labels_annotation,_ref_subsample,_dataset,n_counts,subsampled_labels,_scvi_batch,_scvi_labels,popv_knn_on_scvi_prediction,popv_knn_on_scvi_prediction_probabilities,popv_scanvi_prediction,popv_scanvi_prediction_probabilities,popv_svm_prediction,popv_svm_prediction_probabilities,popv_rf_prediction,popv_rf_prediction_probabilities,popv_celltypist_prediction,popv_celltypist_prediction_probabilities,popv_majority_vote_prediction,popv_majority_vote_score,popv_prediction,popv_prediction_score,popv_prediction_depth,popv_prediction_onclass_relative_depth,popv_parent,hra_prediction,Organ_Level,Organ_ID,Annotation_Label_ID,CL_Label,clid,match_type,gene_expr
D31.1_1,unknown_query,unknown,False,query,3665.0,unknown,4,14,type B pancreatic cell,1.0,type B pancreatic cell,0.999708,type B pancreatic cell,0.932534550659927,type B pancreatic cell,0.35,type B pancreatic cell,0.9996207553027483,type B pancreatic cell,5,type B pancreatic cell,5,5,nan,type B pancreatic cell,type B pancreatic cell,pancreas,UBERON:0001264,PV:0000228,type B pancreatic cell,CL:0000169,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:uchl1"", ""gene_label"": ""UCHL1"", ""ensembl_id"": ""UCHL1"", ""mean_gene_expr_value"": 4.212429437565384}, {""gene_id"": ""ASCTB-TEMP:hadh"", ""gene_label"": ""HADH"", ""ensembl_id"": ""HADH"", ""mean_gene_expr_value"": 3.4929777754136024}, {""gene_id"": ""ASCTB-TEMP:ins"", ""gene_label"": ""INS"", ""ensembl_id"": ""INS"", ""mean_gene_expr_value"": 3.966848597826557}, {""gene_id"": ""ASCTB-TEMP:syt13"", ""gene_label"": ""SYT13"", ""ensembl_id"": ""SYT13"", ""mean_gene_expr_value"": 3.115574189030758}, {""gene_id"": ""ASCTB-TEMP:scd"", ""gene_label"": ""SCD"", ""ensembl_id"": ""SCD"", ""mean_gene_expr_value"": 3.5560500406064737}, {""gene_id"": ""ASCTB-TEMP:nptx2"", ""gene_label"": ""NPTX2"", ""ensembl_id"": ""NPTX2"", ""mean_gene_expr_value"": 2.8315523725220184}, {""gene_id"": ""ASCTB-TEMP:scgn"", ""gene_label"": ""SCGN"", ""ensembl_id"": ""SCGN"", ""mean_gene_expr_value"": 4.369308000513573}, {""gene_id"": ""ASCTB-TEMP:sorl1"", ""gene_label"": ""SORL1"", ""ensembl_id"": ""SORL1"", ""mean_gene_expr_value"": 2.858185794037346}, {""gene_id"": ""ASCTB-TEMP:pcsk1"", ""gene_label"": ""PCSK1"", ""ensembl_id"": ""PCSK1"", ""mean_gene_expr_value"": 3.236433641751338}, {""gene_id"": ""ASCTB-TEMP:map1b"", ""gene_label"": ""MAP1B"", ""ensembl_id"": ""MAP1B"", ""mean_gene_expr_value"": 3.704185087002268}]"
D31.1_2,unknown_query,unknown,False,query,31436.0,unknown,4,14,pancreatic A cell,1.0,pancreatic PP cell,0.91719073,pancreatic A cell,0.9052623271886044,pancreatic A cell,0.79,pancreatic A cell,0.967079416485787,pancreatic A cell,4,pancreatic A cell,4,5,nan,type A enteroendocrine cell,pancreatic A cell,pancreas,UBERON:0001264,PV:0000222,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:gcg"", ""gene_label"": ""GCG"", ""ensembl_id"": ""GCG"", ""mean_gene_expr_value"": 7.9055688101490045}, {""gene_id"": ""ASCTB-TEMP:ttr"", ""gene_label"": ""TTR"", ""ensembl_id"": ""TTR"", ""mean_gene_expr_value"": 7.20235317093479}, {""gene_id"": ""ASCTB-TEMP:pcsk2"", ""gene_label"": ""PCSK2"", ""ensembl_id"": ""PCSK2"", ""mean_gene_expr_value"": 4.863998195395583}, {""gene_id"": ""ASCTB-TEMP:tm4sf4"", ""gene_label"": ""TM4SF4"", ""ensembl_id"": ""TM4SF4"", ""mean_gene_expr_value"": 3.584638546058887}, {""gene_id"": ""ASCTB-TEMP:chgb"", ""gene_label"": ""CHGB"", ""ensembl_id"": ""CHGB"", ""mean_gene_expr_value"": 4.544564134418213}, {""gene_id"": ""ASCTB-TEMP:tmem176b"", ""gene_label"": ""TMEM176B"", ""ensembl_id"": ""TMEM176B"", ""mean_gene_expr_value"": 2.9180745947164946}, {""gene_id"": ""ASCTB-TEMP:gc"", ""gene_label"": ""GC"", ""ensembl_id"": ""GC"", ""mean_gene_expr_value"": 3.0348346404477686}, {""gene_id"": ""ASCTB-TEMP:kctd12"", ""gene_label"": ""KCTD12"", ""ensembl_id"": ""KCTD12"", ""mean_gene_expr_value"": 2.9343476785046185}, {""gene_id"": ""ASCTB-TEMP:cryba2"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""CRYBA2"", ""mean_gene_expr_value"": 1.3229477823178626}, {""gene_id"": ""ASCTB-TEMP:rgs4"", ""gene_label"": ""RGS4"", ""ensembl_id"": ""RGS4"", ""mean_gene_expr_value"": 2.445866393572217}]"
D31.1_4,unknown_query,unknown,False,query,14311.0,unknown,4,14,pancreatic A cell,1.0,pancreatic A cell,0.82473165,pancreatic A cell,0.9259637069546466,pancreatic A cell,0.83,pancreatic A cell,0.9937885968276207,pancreatic A cell,5,pancreatic A cell,5,5,nan,type A enteroendocrine cell,pancreatic A cell,pancreas,UBERON:0001264,PV:0000222,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:gcg"", ""gene_label"": ""GCG"", ""ensembl_id"": ""GCG"", ""mean_gene_expr_value"": 7.9055688101490045}, {""gene_id"": ""ASCTB-TEMP:ttr"", ""gene_label"": ""TTR"", ""ensembl_id"": ""TTR"", ""mean_gene_expr_value"": 7.20235317093479}, {""gene_id"": ""ASCTB-TEMP:pcsk2"", ""gene_label"": ""PCSK2"", ""ensembl_id"": ""PCSK2"", ""mean_gene_expr_value"": 4.863998195395583}, {""gene_id"": ""ASCTB-TEMP:tm4sf4"", ""gene_label"": ""TM4SF4"", ""ensembl_id"": ""TM4SF4"", ""mean_gene_expr_value"": 3.584638546058887}, {""gene_id"": ""ASCTB-TEMP:chgb"", ""gene_label"": ""CHGB"", ""ensembl_id"": ""CHGB"", ""mean_gene_expr_value"": 4.544564134418213}, {""gene_id"": ""ASCTB-TEMP:tmem176b"", ""gene_label"": ""TMEM176B"", ""ensembl_id"": ""TMEM176B"", ""mean_gene_expr_value"": 2.9180745947164946}, {""gene_id"": ""ASCTB-TEMP:gc"", ""gene_label"": ""GC"", ""ensembl_id"": ""GC"", ""mean_gene_expr_value"": 3.0348346404477686}, {""gene_id"": ""ASCTB-TEMP:kctd12"", ""gene_label"": ""KCTD12"", ""ensembl_id"": ""KCTD12"", ""mean_gene_expr_value"": 2.9343476785046185}, {""gene_id"": ""ASCTB-TEMP:cryba2"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""CRYBA2"", ""mean_gene_expr_value"": 1.3229477823178626}, {""gene_id"": ""ASCTB-TEMP:rgs4"", ""gene_label"": ""RGS4"", ""ensembl_id"": ""RGS4"", ""mean_gene_expr_value"": 2.445866393572217}]"
D31.1_5,unknown_query,unknown,False,query,19155.0,unknown,4,14,pancreatic ductal cell,0.6,pancreatic ductal cell,0.5964733,pancreatic ductal cell,0.878416727862154,pancreatic ductal cell,0.32,pancreatic ductal cell,0.14485454381394675,pancreatic ductal cell,5,pancreatic ductal cell,5,6,nan,pancreatic ductal cell,pancreatic ductal cell,pancreas,UBERON:0001264,PV:0000225,pancreatic ductal cell,CL:0002079,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:tacstd2"", ""gene_label"": ""TACSTD2"", ""ensembl_id"": ""TACSTD2"", ""mean_gene_expr_value"": 4.055517538359304}, {""gene_id"": ""ASCTB-TEMP:tmsb4x"", ""gene_label"": ""TMSB4X"", ""ensembl_id"": ""TMSB4X"", ""mean_gene_expr_value"": 4.83020775663356}, {""gene_id"": ""ASCTB-TEMP:cd24"", ""gene_label"": ""CD24"", ""ensembl_id"": ""CD24"", ""mean_gene_expr_value"": 5.415638568564026}, {""gene_id"": ""ASCTB-TEMP:s100a11"", ""gene_label"": ""S100A11"", ""ensembl_id"": ""S100A11"", ""mean_gene_expr_value"": 3.4488751400574915}, {""gene_id"": ""ASCTB-TEMP:sox4"", ""gene_label"": ""SOX4"", ""ensembl_id"": ""SOX4"", ""mean_gene_expr_value"": 3.6946376217225563}, {""gene_id"": ""ASCTB-TEMP:anxa4"", ""gene_label"": ""ANXA4"", ""ensembl_id"": ""ANXA4"", ""mean_gene_expr_value"": 4.166868784980537}, {""gene_id"": ""ASCTB-TEMP:tm4sf1"", ""gene_label"": ""TM4SF1"", ""ensembl_id"": ""TM4SF1"", ""mean_gene_expr_value"": 3.425314676161589}, {""gene_id"": ""ASCTB-TEMP:cd44"", ""gene_label"": ""CD44"", ""ensembl_id"": ""CD44"", ""mean_gene_expr_value"": 3.7559278278466466}, {""gene_id"": ""ASCTB-TEMP:sat1"", ""gene_label"": ""SAT1"", ""ensembl_id"": ""SAT1"", ""mean_gene_expr_value"": 4.361744244042768}, {""gene_id"": ""ASCTB-TEMP:anxa2"", ""gene_label"": ""ANXA2"", ""ensembl_id"": ""ANXA2"", ""mean_gene_expr_value"": 4.619059679390002}]"
D31.1_6,unknown_query,unknown,False,query,3896.0,unknown,4,14,pancreatic A cell,1.0,pancreatic PP cell,0.9653117,pancreatic A cell,0.4531846190546755,pancreatic A cell,0.29,pancreatic PP cell,0.15006166504382404,pancreatic A cell,3,pancreatic A cell,3,5,nan,type A enteroendocrine cell,pancreatic A cell,pancreas,UBERON:0001264,PV:0000222,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:gcg"", ""gene_label"": ""GCG"", ""ensembl_id"": ""GCG"", ""mean_gene_expr_value"": 7.9055688101490045}, {""gene_id"": ""ASCTB-TEMP:ttr"", ""gene_label"": ""TTR"", ""ensembl_id"": ""TTR"", ""mean_gene_expr_value"": 7.20235317093479}, {""gene_id"": ""ASCTB-TEMP:pcsk2"", ""gene_label"": ""PCSK2"", ""ensembl_id"": ""PCSK2"", ""mean_gene_expr_value"": 4.863998195395583}, {""gene_id"": ""ASCTB-TEMP:tm4sf4"", ""gene_label"": ""TM4SF4"", ""ensembl_id"": ""TM4SF4"", ""mean_gene_expr_value"": 3.584638546058887}, {""gene_id"": ""ASCTB-TEMP:chgb"", ""gene_label"": ""CHGB"", ""ensembl_id"": ""CHGB"", ""mean_gene_expr_value"": 4.544564134418213}, {""gene_id"": ""ASCTB-TEMP:tmem176b"", ""gene_label"": ""TMEM176B"", ""ensembl_id"": ""TMEM176B"", ""mean_gene_expr_value"": 2.9180745947164946}, {""gene_id"": ""ASCTB-TEMP:gc"", ""gene_label"": ""GC"", ""ensembl_id"": ""GC"", ""mean_gene_expr_value"": 3.0348346404477686}, {""gene_id"": ""ASCTB-TEMP:kctd12"", ""gene_label"": ""KCTD12"", ""ensembl_id"": ""KCTD12"", ""mean_gene_expr_value"": 2.9343476785046185}, {""gene_id"": ""ASCTB-TEMP:cryba2"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""CRYBA2"", ""mean_gene_expr_value"": 1.3229477823178626}, {""gene_id"": ""ASCTB-TEMP:rgs4"", ""gene_label"": ""RGS4"", ""ensembl_id"": ""RGS4"", ""mean_gene_expr_value"": 2.445866393572217}]"
D31.1_7,unknown_query,unknown,False,query,11484.0,unknown,4,14,pancreatic ductal cell,0.8,pancreatic acinar cell,0.7917029,pancreatic ductal cell,0.5743134248571972,pancreatic ductal cell,0.39,pancreatic ductal cell,0.062438142378053244,pancreatic ductal cell,4,pancreatic ductal cell,4,6,nan,pancreatic ductal cell,pancreatic ductal cell,pancreas,UBERON:0001264,PV:0000225,pancreatic ductal cell,CL:0002079,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:tacstd2"", ""gene_label"": ""TACSTD2"", ""ensembl_id"": ""TACSTD2"", ""mean_gene_expr_value"": 4.055517538359304}, {""gene_id"": ""ASCTB-TEMP:tmsb4x"", ""gene_label"": ""TMSB4X"", ""ensembl_id"": ""TMSB4X"", ""mean_gene_expr_value"": 4.83020775663356}, {""gene_id"": ""ASCTB-TEMP:cd24"", ""gene_label"": ""CD24"", ""ensembl_id"": ""CD24"", ""mean_gene_expr_value"": 5.415638568564026}, {""gene_id"": ""ASCTB-TEMP:s100a11"", ""gene_label"": ""S100A11"", ""ensembl_id"": ""S100A11"", ""mean_gene_expr_value"": 3.4488751400574915}, {""gene_id"": ""ASCTB-TEMP:sox4"", ""gene_label"": ""SOX4"", ""ensembl_id"": ""SOX4"", ""mean_gene_expr_value"": 3.6946376217225563}, {""gene_id"": ""ASCTB-TEMP:anxa4"", ""gene_label"": ""ANXA4"", ""ensembl_id"": ""ANXA4"", ""mean_gene_expr_value"": 4.166868784980537}, {""gene_id"": ""ASCTB-TEMP:tm4sf1"", ""gene_label"": ""TM4SF1"", ""ensembl_id"": ""TM4SF1"", ""mean_gene_expr_value"": 3.425314676161589}, {""gene_id"": ""ASCTB-TEMP:cd44"", ""gene_label"": ""CD44"", ""ensembl_id"": ""CD44"", ""mean_gene_expr_value"": 3.7559278278466466}, {""gene_id"": ""ASCTB-TEMP:sat1"", ""gene_label"": ""SAT1"", ""ensembl_id"": ""SAT1"", ""mean_gene_expr_value"": 4.361744244042768}, {""gene_id"": ""ASCTB-TEMP:anxa2"", ""gene_label"": ""ANXA2"", ""ensembl_id"": ""ANXA2"", ""mean_gene_expr_value"": 4.619059679390002}]"
D31.1_8,unknown_query,unknown,False,query,21666.0,unknown,4,14,pancreatic A cell,0.9333333333333333,pancreatic A cell,0.8625897,pancreatic A cell,0.9164314331348755,pancreatic A cell,0.73,pancreatic A cell,0.7867880486196399,pancreatic A cell,5,pancreatic A cell,5,5,nan,type A enteroendocrine cell,pancreatic A cell,pancreas,UBERON:0001264,PV:0000222,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:gcg"", ""gene_label"": ""GCG"", ""ensembl_id"": ""GCG"", ""mean_gene_expr_value"": 7.9055688101490045}, {""gene_id"": ""ASCTB-TEMP:ttr"", ""gene_label"": ""TTR"", ""ensembl_id"": ""TTR"", ""mean_gene_expr_value"": 7.20235317093479}, {""gene_id"": ""ASCTB-TEMP:pcsk2"", ""gene_label"": ""PCSK2"", ""ensembl_id"": ""PCSK2"", ""mean_gene_expr_value"": 4.863998195395583}, {""gene_id"": ""ASCTB-TEMP:tm4sf4"", ""gene_label"": ""TM4SF4"", ""ensembl_id"": ""TM4SF4"", ""mean_gene_expr_value"": 3.584638546058887}, {""gene_id"": ""ASCTB-TEMP:chgb"", ""gene_label"": ""CHGB"", ""ensembl_id"": ""CHGB"", ""mean_gene_expr_value"": 4.544564134418213}, {""gene_id"": ""ASCTB-TEMP:tmem176b"", ""gene_label"": ""TMEM176B"", ""ensembl_id"": ""TMEM176B"", ""mean_gene_expr_value"": 2.9180745947164946}, {""gene_id"": ""ASCTB-TEMP:gc"", ""gene_label"": ""GC"", ""ensembl_id"": ""GC"", ""mean_gene_expr_value"": 3.0348346404477686}, {""gene_id"": ""ASCTB-TEMP:kctd12"", ""gene_label"": ""KCTD12"", ""ensembl_id"": ""KCTD12"", ""mean_gene_expr_value"": 2.9343476785046185}, {""gene_id"": ""ASCTB-TEMP:cryba2"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""CRYBA2"", ""mean_gene_expr_value"": 1.3229477823178626}, {""gene_id"": ""ASCTB-TEMP:rgs4"", ""gene_label"": ""RGS4"", ""ensembl_id"": ""RGS4"", ""mean_gene_expr_value"": 2.445866393572217}]"
D31.1_9,unknown_query,unknown,False,query,30239.0,unknown,4,14,pancreatic ductal cell,0.8666666666666667,pancreatic ductal cell,0.98462176,pancreatic ductal cell,0.89286268801369,pancreatic ductal cell,0.24,pancreatic ductal cell,0.3293205966875662,pancreatic ductal cell,5,pancreatic ductal cell,5,6,nan,pancreatic ductal cell,pancreatic ductal cell,pancreas,UBERON:0001264,PV:0000225,pancreatic ductal cell,CL:0002079,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:tacstd2"", ""gene_label"": ""TACSTD2"", ""ensembl_id"": ""TACSTD2"", ""mean_gene_expr_value"": 4.055517538359304}, {""gene_id"": ""ASCTB-TEMP:tmsb4x"", ""gene_label"": ""TMSB4X"", ""ensembl_id"": ""TMSB4X"", ""mean_gene_expr_value"": 4.83020775663356}, {""gene_id"": ""ASCTB-TEMP:cd24"", ""gene_label"": ""CD24"", ""ensembl_id"": ""CD24"", ""mean_gene_expr_value"": 5.415638568564026}, {""gene_id"": ""ASCTB-TEMP:s100a11"", ""gene_label"": ""S100A11"", ""ensembl_id"": ""S100A11"", ""mean_gene_expr_value"": 3.4488751400574915}, {""gene_id"": ""ASCTB-TEMP:sox4"", ""gene_label"": ""SOX4"", ""ensembl_id"": ""SOX4"", ""mean_gene_expr_value"": 3.6946376217225563}, {""gene_id"": ""ASCTB-TEMP:anxa4"", ""gene_label"": ""ANXA4"", ""ensembl_id"": ""ANXA4"", ""mean_gene_expr_value"": 4.166868784980537}, {""gene_id"": ""ASCTB-TEMP:tm4sf1"", ""gene_label"": ""TM4SF1"", ""ensembl_id"": ""TM4SF1"", ""mean_gene_expr_value"": 3.425314676161589}, {""gene_id"": ""ASCTB-TEMP:cd44"", ""gene_label"": ""CD44"", ""ensembl_id"": ""CD44"", ""mean_gene_expr_value"": 3.7559278278466466}, {""gene_id"": ""ASCTB-TEMP:sat1"", ""gene_label"": ""SAT1"", ""ensembl_id"": ""SAT1"", ""mean_gene_expr_value"": 4.361744244042768}, {""gene_id"": ""ASCTB-TEMP:anxa2"", ""gene_label"": ""ANXA2"", ""ensembl_id"": ""ANXA2"", ""mean_gene_expr_value"": 4.619059679390002}]"
D31.1_10,unknown_query,unknown,False,query,2193.0,unknown,4,14,pancreatic A cell,0.8666666666666667,pancreatic PP cell,0.78331965,type B pancreatic cell,0.7092351880315219,type B pancreatic cell,0.31,type B pancreatic cell,0.09894375852924438,type B pancreatic cell,3,type B pancreatic cell,3,5,nan,type B pancreatic cell,type B pancreatic cell,pancreas,UBERON:0001264,PV:0000228,type B pancreatic cell,CL:0000169,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:uchl1"", ""gene_label"": ""UCHL1"", ""ensembl_id"": ""UCHL1"", ""mean_gene_expr_value"": 4.212429437565384}, {""gene_id"": ""ASCTB-TEMP:hadh"", ""gene_label"": ""HADH"", ""ensembl_id"": ""HADH"", ""mean_gene_expr_value"": 3.4929777754136024}, {""gene_id"": ""ASCTB-TEMP:ins"", ""gene_label"": ""INS"", ""ensembl_id"": ""INS"", ""mean_gene_expr_value"": 3.966848597826557}, {""gene_id"": ""ASCTB-TEMP:syt13"", ""gene_label"": ""SYT13"", ""ensembl_id"": ""SYT13"", ""mean_gene_expr_value"": 3.115574189030758}, {""gene_id"": ""ASCTB-TEMP:scd"", ""gene_label"": ""SCD"", ""ensembl_id"": ""SCD"", ""mean_gene_expr_value"": 3.5560500406064737}, {""gene_id"": ""ASCTB-TEMP:nptx2"", ""gene_label"": ""NPTX2"", ""ensembl_id"": ""NPTX2"", ""mean_gene_expr_value"": 2.8315523725220184}, {""gene_id"": ""ASCTB-TEMP:scgn"", ""gene_label"": ""SCGN"", ""ensembl_id"": ""SCGN"", ""mean_gene_expr_value"": 4.369308000513573}, {""gene_id"": ""ASCTB-TEMP:sorl1"", ""gene_label"": ""SORL1"", ""ensembl_id"": ""SORL1"", ""mean_gene_expr_value"": 2.858185794037346}, {""gene_id"": ""ASCTB-TEMP:pcsk1"", ""gene_label"": ""PCSK1"", ""ensembl_id"": ""PCSK1"", ""mean_gene_expr_value"": 3.236433641751338}, {""gene_id"": ""ASCTB-TEMP:map1b"", ""gene_label"": ""MAP1B"", ""ensembl_id"": ""MAP1B"", ""mean_gene_expr_value"": 3.704185087002268}]"
D31.1_11,unknown_query,unknown,False,query,5547.0,unknown,4,14,pancreatic ductal cell,0.8666666666666667,pancreatic ductal cell,0.9749283,pancreatic ductal cell,0.8733318810149093,pancreatic ductal cell,0.27,pancreatic ductal cell,0.48247188932430585,pancreatic ductal cell,5,pancreatic ductal cell,5,6,nan,pancreatic ductal cell,pancreatic ductal cell,pancreas,UBERON:0001264,PV:0000225,pancreatic ductal cell,CL:0002079,skos:exactMatch,"[{""gene_id"": ""ASCTB-TEMP:tacstd2"", ""gene_label"": ""TACSTD2"", ""ensembl_id"": ""TACSTD2"", ""mean_gene_expr_value"": 4.055517538359304}, {""gene_id"": ""ASCTB-TEMP:tmsb4x"", ""gene_label"": ""TMSB4X"", ""ensembl_id"": ""TMSB4X"", ""mean_gene_expr_value"": 4.83020775663356}, {""gene_id"": ""ASCTB-TEMP:cd24"", ""gene_label"": ""CD24"", ""ensembl_id"": ""CD24"", ""mean_gene_expr_value"": 5.415638568564026}, {""gene_id"": ""ASCTB-TEMP:s100a11"", ""gene_label"": ""S100A11"", ""ensembl_id"": ""S100A11"", ""mean_gene_expr_value"": 3.4488751400574915}, {""gene_id"": ""ASCTB-TEMP:sox4"", ""gene_label"": ""SOX4"", ""ensembl_id"": ""SOX4"", ""mean_gene_expr_value"": 3.6946376217225563}, {""gene_id"": ""ASCTB-TEMP:anxa4"", ""gene_label"": ""ANXA4"", ""ensembl_id"": ""ANXA4"", ""mean_gene_expr_value"": 4.166868784980537}, {""gene_id"": ""ASCTB-TEMP:tm4sf1"", ""gene_label"": ""TM4SF1"", ""ensembl_id"": ""TM4SF1"", ""mean_gene_expr_value"": 3.425314676161589}, {""gene_id"": ""ASCTB-TEMP:cd44"", ""gene_label"": ""CD44"", ""ensembl_id"": ""CD44"", ""mean_gene_expr_value"": 3.7559278278466466}, {""gene_id"": ""ASCTB-TEMP:sat1"", ""gene_label"": ""SAT1"", ""ensembl_id"": ""SAT1"", ""mean_gene_expr_value"": 4.361744244042768}, {""gene_id"": ""ASCTB-TEMP:anxa2"", ""gene_label"": ""ANXA2"", ""ensembl_id"": ""ANXA2"", ""mean_gene_expr_value"": 4.619059679390002}]"
